ruske_slovo,slovenske_slovo,typ
агат,agát,homonymum
бабка,babka,homonymum
база,baza,homonymum
базар,bazár,homonymum
байка,bájka,homonymum
балл,bál,homonymum
баллон,balón,homonymum
банк,bank,homonymum
банка,banka,homonymum
банкрот,bankrot,homonymum
баня,baňa,homonymum
батог,batoh,homonymum
беда,bieda,homonymum
благо,blaho,homonymum
блеск,blesk,homonymum
блок,blok,homonymum
блуд,blud,homonymum
блудить,blúdiť,homonymum
бодать,bodať,homonymum
болван,balvan,homonymum
болото,blato,homonymum
борода,brada,homonymum
бородавка,bradavka,homonymum
брак,brak,homonymum
брехать,brechať,homonymum
бродить,brodiť,homonymum
бухта,buchta,homonymum
бывалый,bývalý,homonymum
быт,byt,homonymum
важный,vážny,homonymum
ваза,váza,homonymum
вал,val,homonymum
валить,valiť,homonymum
варенье,varenie,homonymum
ведомость,vedomosť,homonymum
венец,veniec,homonymum
верный,verný,homonymum
ветчина,väčšina,homonymum
взор,vzor,homonymum
вилка,vilka,homonymum
вилять,vyliať,homonymum
винный,vinný,homonymum
витязь,víťaz,homonymum
вихор,víchor,homonymum
вкус,vkus,homonymum
вкусный,vkusný,homonymum
власть,власť,homonymum
враг,vrah,homonymum
вражда,vražda,homonymum
вред,vred,homonymum
вылет,вýlet,homonymum
вышка,вýška,homonymum
гад,had,homonymum
гласный,hlasný,homonymum
гной,hnoj,homonymum
град,hrad,homonymum
гроб,hrob,homonymum
громада,hromada,homonymum
губа,huba,homonymum
гулять,gúľať,homonymum
давить,dáviť,homonymum
дата,dáta,homonymum
дворец,dvorec,homonymum
доза,dóza,homonymum
доклад,doklad,homonymum
древо,drevo,homonymum
душа,duša,homonymum
жадный,žiadny,homonymum
жаль,žiaľ,homonymum
живот,život,homonymum
жилетка,žiletka,homonymum
загон,záhon,homonymum
задок,zadok,homonymum
заказ,zákaz,homonymum
заказник,zákazník,homonymum
замер,zámer,homonymum
запор,zápor,homonymum
засада,zásada,homonymum
застава,zástava,homonymum
захват,záchvat,homonymum
заход,záchod,homonymum
змея,zmija,homonymum
изба,izba,homonymum
истый,istý,homonymum
казнь,kázeň,homonymum
кал,kal,homonymum
камера,kamera,homonymum
канон,kanón,homonymum
карать,kárať,homonymum
качка,kačka,homonymum
класс,klas,homonymum
клетка,klietka,homonymum
клуб,klub,homonymum
князь,kňaz,homonymum
корень,koreň,homonymum
коса,kosa,homonymum
косить,kosiť,homonymum
костра,kostra,homonymum
кость,kosť,homonymum
кукла,kukla,homonymum
курить,kúriť,homonymum
лавка,lávka,homonymum
лад,ľad,homonymum
ласка,láska,homonymum
лекция,lekcia,homonymum
лес,les,homonymum
линия,línia,homonymum
лук,luk,homonymum
лука,lúka,homonymum
лучиться,lúčiť sa,homonymum
магазин,magazín,homonymum
масло,maslo,homonymum
матка,matka,homonymum
мрак,mrak,homonymum
набег,nábeh,homonymum
набор,nábor,homonymum
навес,náves,homonymum
навоз,návoz,homonymum
награда,náhrada,homonymum
неделя,nedeľa,homonymum
обушок,obušok,homonymum
обход,obchod,homonymum
объявить,objaviť,homonymum
оговорить,ohovoriť,homonymum
орать,orať,homonymum
осада,osada,homonymum
освоить,osvojiť,homonymum
отбор,odbor,homonymum
отмена,odmena,homonymum
отход,odchod,homonymum
охота,ochota,homonymum
палец,palec,homonymum
пара,para,homonymum
парик,párik,homonymum
пахать,páchať,homonymum
питание,pýtanie,homonymum
питать,pýtať,homonymum
плот,plot,homonymum
повод,pôvod,homonymum
подвод,podvod,homonymum
припой,prípoj,homonymum
рисовать,rysovať,homonymum
роба,róba,homonymum
складка,skládka,homonymum
следовать,sledovať,homonymum
убрать,ubrať,homonymum
управа,úprava,homonymum
электричка,električka,homonymum
ягода,jahoda,homonymum
язва,jazva,homonymum
