Respondent;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24
R1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1
R2;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
R3;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1
R4;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
R5;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1
R6;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
R7;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
R8;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
R9;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1
R10;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
R11;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
R12;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1
R13;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1
R14;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1
R15;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1
R16;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1
R17;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1
R18;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1
R19;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1
R20;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1
R21;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1
R22;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1
R23;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1
R24;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1
R25;1;1;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1
R26;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1
R27;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1
R28;1;1;0;0;0;1;0;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;0;1
R29;1;1;0;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1
R30;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1
R31;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1
R32;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1
R33;1;1;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1
R34;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1
R35;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1
R36;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1
R37;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1
R38;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1
R39;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1
R40;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1
R41;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1
R42;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1
R43;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1
R44;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1
R45;1;0;1;0;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1
R46;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;0;1;1;1;1;0;0;1
